,"(3, 3)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(4, 3)","(4, 4)","(4, 5)","(4, 6)","(4, 7)","(5, 3)","(5, 4)","(5, 5)","(5, 6)","(5, 7)","(6, 3)","(6, 4)","(6, 5)","(6, 6)","(6, 7)","(7, 3)","(7, 4)","(7, 5)","(7, 6)","(7, 7)"
Start,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00,2023-09-04 23:00:00+00:00
End,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00,2024-04-10 19:00:00+00:00
Period,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,101.81646546775366,102.73313849975153,103.6648623822537,102.8554896997365,102.07147273645397,101.69731207619068,102.50642221795141,103.65710492533572,102.74349363507207,101.847835540335,101.18670898101955,102.00554276356235,102.0895697443816,101.52793824458938,100.86504379784408,101.40659076449748,101.55889029693603,101.76940659758742,101.38965734949642,100.8933076240085,101.31816842042711,101.7189464138974,101.63941981544265,101.30327793808989,100.82453832203672
Total Return [%],1.816465467753659,2.733138499751533,3.6648623822537014,2.855489699736495,2.07147273645397,1.6973120761906841,2.5064222179514104,3.6571049253357164,2.7434936350720704,1.847835540334998,1.1867089810195495,2.005542763562346,2.089569744381606,1.5279382445893788,0.8650437978440806,1.40659076449748,1.5588902969360277,1.7694065975874196,1.3896573494964173,0.8933076240085001,1.3181684204271136,1.718946413897399,1.6394198154426505,1.3032779380898916,0.8245383220367158
Benchmark Return [%],0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131,0.5610581335847131
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],1.626712190118651,1.0068743191855136,1.1266079764388182,1.2027792941241016,1.177109083169729,1.6482954352993997,1.2900920472107538,1.1496442146714136,1.085951726739325,1.0540505065835386,1.8402030397363454,1.4154278620934757,1.3312885601282773,1.4475742491516994,1.305537779494442,1.8258345702812306,1.5579379655886287,1.2536454074173644,1.6203015689433689,1.423687229941018,1.5902523432156712,1.0986666386029724,1.0762352083180649,1.4976295856517248,1.4422406493609983
